,zipcode,gentrification
0,83,2
1,7020,2
2,7030,2
3,7114,2
4,10000,2
5,10001,2
6,10002,1
7,10003,1
8,10004,2
9,10005,2
10,10006,2
11,10007,2
12,10009,1
13,10010,2
14,10011,2
15,10012,2
16,10013,2
17,10014,2
18,10016,2
19,10017,2
20,10018,2
21,10019,2
22,10020,2
23,10021,2
24,10022,2
25,10023,2
26,10024,2
27,10025,2
28,10026,1
29,10027,1
30,10028,2
31,10029,1
32,10030,1
33,10031,1
34,10032,1
35,10033,1
36,10034,1
37,10035,1
38,10036,2
39,10037,1
40,10038,2
41,10039,1
42,10040,1
43,10041,2
44,10044,2
45,10045,2
46,10048,2
47,10055,2
48,10065,2
49,10069,2
50,10075,2
51,10103,2
52,10104,2
53,10105,2
54,10107,2
55,10111,2
56,10112,2
57,10118,2
58,10119,2
59,10120,2
60,10121,2
61,10122,2
62,10123,2
63,10128,2
64,10129,2
65,10153,2
66,10154,2
67,10155,2
68,10158,2
69,10162,2
70,10165,2
71,10166,2
72,10167,2
73,10168,2
74,10169,2
75,10170,2
76,10171,2
77,10172,2
78,10173,2
79,10177,2
80,10178,2
81,10179,2
82,10270,2
83,10271,2
84,10278,2
85,10279,2
86,10280,2
87,10281,2
88,10282,2
89,10301,2
90,10302,2
91,10303,2
92,10304,2
93,10305,2
94,10306,2
95,10307,2
96,10308,2
97,10309,2
98,10310,2
99,10312,2
100,10314,2
101,10451,0
102,10452,0
103,10453,0
104,10454,1
105,10455,1
106,10456,1
107,10457,1
108,10458,1
109,10459,1
110,10460,1
111,10461,2
112,10462,2
113,10463,0
114,10464,2
115,10465,2
116,10466,2
117,10467,2
118,10468,0
119,10469,2
120,10470,2
121,10471,2
122,10472,0
123,10473,0
124,10474,1
125,10475,2
126,10507,2
127,10704,2
128,10803,2
129,11001,2
130,11004,2
131,11005,2
132,11040,2
133,11101,2
134,11102,1
135,11103,1
136,11104,2
137,11105,1
138,11106,1
139,11109,2
140,11201,2
141,11203,2
142,11204,0
143,11205,2
144,11206,1
145,11207,2
146,11208,0
147,11209,2
148,11210,2
149,11211,1
150,11212,1
151,11213,1
152,11214,0
153,11215,2
154,11216,1
155,11217,2
156,11218,2
157,11219,2
158,11220,1
159,11221,1
160,11222,1
161,11223,0
162,11224,0
163,11225,1
164,11226,2
165,11228,2
166,11229,2
167,11230,2
168,11231,2
169,11232,1
170,11233,1
171,11234,2
172,11235,2
173,11236,2
174,11237,1
175,11238,2
176,11239,0
177,11241,2
178,11242,2
179,11249,1
180,11251,2
181,11354,2
182,11355,2
183,11356,2
184,11357,2
185,11358,2
186,11359,2
187,11360,2
188,11361,2
189,11362,2
190,11363,2
191,11364,2
192,11365,2
193,11366,2
194,11367,2
195,11368,2
196,11369,2
197,11370,1
198,11371,2
199,11372,2
200,11373,2
201,11374,2
202,11375,2
203,11377,2
204,11378,2
205,11379,2
206,11385,2
207,11411,2
208,11412,2
209,11413,2
210,11414,2
211,11415,2
212,11416,2
213,11417,2
214,11418,2
215,11419,2
216,11420,2
217,11421,2
218,11422,2
219,11423,2
220,11426,2
221,11427,2
222,11428,2
223,11429,2
224,11430,2
225,11432,2
226,11433,2
227,11434,2
228,11435,2
229,11436,2
230,11530,2
231,11691,2
232,11692,2
233,11693,2
234,11694,2
235,11695,2
236,11697,2
